Full Name;Name;Power;stall;add;addi;addiw;addw;and;andi;auipc;bnez;div;divu;divuw;divw;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;rem;remu;remuw;remw;sb;seqz;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;sub;subw;sw;xor;xori
1a_add_300x300;add_300x300;5181,793;215;90000;300;4;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_addi_300x300;addi_300x300;5265,221;215;0;90300;4;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_addiw_300x300;addiw_300x300;5248,801;231;0;301;90005;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;4;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_addw_300x300;addw_300x300;5233,215;215;0;300;4;90000;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_and_300x300;and_300x300;5169,902;215;0;300;5;0;90000;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_andi_300x300;andi_300x300;4963,56;231;0;300;7;0;0;90000;0;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_auipc_300x300;auipc_300x300;5409,994;215;0;300;5;0;0;0;90000;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_div_300x300;div_300x300;4681,456;221077;0;95;0;0;0;0;0;95;28664;0;0;0;0;0;0;0;0;25;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_divu_300x300;divu_300x300;4681,46;223176;0;88;0;0;0;0;0;88;0;26579;0;0;0;0;0;0;0;22;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_divuw_300x300;divuw_300x300;5159,72;226968;0;76;1;0;0;0;0;76;0;0;22811;0;0;0;0;0;0;21;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_divw_300x300;divw_300x300;4687,292;225057;0;82;2;0;0;0;0;82;0;0;0;24710;0;0;0;0;0;18;9;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_lb_300x300;lb_300x300;4681,536;249895;0;0;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_lbu_300x300;lbu_300x300;4681,584;249894;0;1;9;0;0;0;0;0;0;0;0;0;0;0;5;0;0;18;8;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_lh_300x300;lh_300x300;4750,825;249931;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_lhu_300x300;lhu_300x300;4750,84;249899;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
