,,add,addi,addiw,addw,and,andi,auipc,beq,beqz,bge,bgeu,bgez,blt,bltu,bltz,bne,bnez,csrc,csrr,csrs,csrw,div,divu,divuw,divw,j,jal,jr,lb,lbu,ld,lh,lhu,li,lui,lw,lwu,mul,mulh,mulhsu,mulhu,mulw,mv,nop,or,ori,rem,remu,remuw,remw,ret,sb,sd,seqz,sext.w,sh,sll,slli,slliw,sllw,slt,slti,sltiu,sltu,sra,srai,sraiw,sraw,srl,srli,srliw,srlw,stall,sub,subw,sw,xor,xori
10mhz_1_add_100x100.instr.csv,9029.649,10000,111,26,0,0,0,0,0,488500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0
1a_add_300x300.instr.csv,9031.069,90000,300,4,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1a_addi_300x300.instr.csv,9031.354,0,90300,4,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1a_addiw_300x300.instr.csv,9031.269,0,301,90005,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1a_addw_300x300.instr.csv,9031.398,0,300,4,90000,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1a_and_300x300.instr.csv,9031.213,0,300,5,0,90000,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1a_andi_300x300.instr.csv,9030.273,0,300,7,0,0,90000,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1a_auipc_300x300.instr.csv,9032.839,0,300,5,0,0,0,90000,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1a_div_300x300.instr.csv,9052.672,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,57232,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441345,0,0,0,0,0
1a_divu_300x300.instr.csv,9052.642,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,53073,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445532,0,0,0,0,0
