;;;add;addi;addiw;addw;and;andi;bnez;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;seqz;sext,w;sll;slli;sllw;slt;slti;sltiu;sltu;sra;sraw;srl;srlw;stall;sub;subw;xor;xori
2a_ipc,instr,csv;ipc,instr,csv;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2a_ipc00_300x300,instr,csv;ipc00;2607,61;0;258;3;0;0;0;258;0;6451;8522;8264;8522;24;3;9554;9036;7231;8520;5422;5937;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;420982;0;0;0;0
2a_ipc01_300x300,instr,csv;ipc01;2794,404;0;255;3;0;256;256;255;0;6135;7158;7412;5883;24;3;9203;7672;7927;7927;8186;8436;0;2;0;256;0;0;0;0;0;0;0;0;0;0;0;0;0;421740;0;0;0;0
2a_ipc02_300x300,instr,csv;ipc02;1690,005;0;0;4;0;0;0;0;0;1;1;1;2;23;4;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498949;0;0;0;0
2a_ipc03_300x300,instr,csv;ipc03;1689,999;0;0;5;0;0;0;0;0;1;1;1;1;22;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498951;0;0;0;0
2a_ipc04_300x300,instr,csv;ipc04;1690,076;0;0;1;0;0;0;0;0;0;0;3;0;26;1;1;2;0;4;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498943;0;0;0;0
2a_ipc05_300x300,instr,csv;ipc05;1690,022;0;0;7;0;0;0;0;0;0;0;1;0;20;7;1;0;0;0;1;2;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498920;0;0;0;0
2a_ipc06_300x300,instr,csv;ipc06;2509,994;0;541;276;0;0;271;270;0;5962;7044;10027;6774;22;5;9214;6233;9485;6504;8399;6775;0;0;0;542;0;0;542;0;0;0;271;271;0;0;542;271;271;417122;0;813;542;0
2a_ipc07_300x300,instr,csv;ipc07;1690,023;0;0;8;0;0;0;0;0;0;0;0;1;19;8;3;0;1;0;1;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498919;0;0;0;0
2a_ipc08_300x300,instr,csv;ipc08;2767,181;506;506;4;0;253;1265;252;0;3289;7843;8096;4807;23;3;7337;6072;8349;6325;11890;5819;0;0;253;506;0;0;0;1;0;506;253;253;253;253;253;253;253;422554;0;0;253;506
