;;;add;addi;addiw;addw;and;andi;auipc;beqz;bnez;div;divu;divuw;divw;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;rem;remu;remuw;remw;sb;seqz;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;stall;sub;subw;sw;xor;xori
10mhz_1_add_100x100,instr,csv;1;1715,995;10000;111;26;0;0;0;0;488500;100;0;0;0;0;0;0;0;0;0;1;26;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;0;0;0;0;0
1a_add_300x300,instr,csv;add;2379,379;90000;300;4;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1a_addi_300x300,instr,csv;addi;2519,117;0;90300;4;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1a_addiw_300x300,instr,csv;addiw;2480,622;0;301;90005;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;4;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1a_addw_300x300,instr,csv;addw;2449,832;0;300;4;90000;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1a_and_300x300,instr,csv;and;2412,518;0;300;5;0;90000;0;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1a_andi_300x300,instr,csv;andi;2252,815;0;300;7;0;0;90000;0;0;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1a_auipc_300x300,instr,csv;auipc;2980,543;0;300;5;0;0;0;90000;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1a_div_300x300,instr,csv;div;2583,479;0;190;0;0;0;0;0;0;190;57232;0;0;0;0;0;0;0;0;25;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441345;0;0;0;0;0
1a_divu_300x300,instr,csv;divu;2531,689;0;176;0;0;0;0;0;0;176;0;53073;0;0;0;0;0;0;0;22;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;445532;0;0;0;0;0
1a_divuw_300x300,instr,csv;divuw;2530,317;0;151;1;0;0;0;0;0;151;0;0;45547;0;0;0;0;0;0;21;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;453108;0;0;0;0;0
1a_divw_300x300,instr,csv;divw;2569,838;0;164;2;0;0;0;0;0;164;0;0;0;49332;0;0;0;0;0;18;9;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449297;0;0;0;0;0
1a_lb_300x300,instr,csv;lb;1689,988;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498921;0;0;0;0;0
1a_lbu_300x300,instr,csv;lbu;1690,007;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;18;8;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498920;0;0;0;0;0
1a_lh_300x300,instr,csv;lh;1802,976;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498957;0;0;0;0;0
1a_lhu_300x300,instr,csv;lhu;1802,98;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498925;0;0;0;0;0
1a_li_300x300,instr,csv;li;2233,983;0;300;2;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;90025;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1a_lui_300x300,instr,csv;lui;2863,871;0;300;4;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;90004;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1a_lw_300x300,instr,csv;lw;1802,982;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498925;0;0;0;0;0
1a_mul_300x300,instr,csv;mul;2585,178;0;283;5;0;0;0;0;0;283;0;0;0;0;0;0;0;0;0;22;5;0;84987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;413404;0;0;0;0;0
1a_mulh_300x300,instr,csv;mulh;2716,267;0;139;4;0;0;0;0;0;139;0;0;0;0;0;0;0;0;0;23;4;0;0;41716;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456963;0;0;0;0;0
