,,,add,addi,addiw,addw,and,andi,bnez,j,lb,lbu,lh,lhu,li,lui,lw,mul,mulh,mulhsu,mulhu,mulw,mv,nop,or,ori,seqz,sext.w,sll,slli,sllw,slt,slti,sltiu,sltu,sra,sraw,srl,srlw,stall,sub,subw,xor,xori
2a_ipc00_300x300.csv,ipc00,5390.982,0,129,3,0,0,0,129,0,3230,4270,4140,4269,24,3,4785,4524,3620,4267,2715,2972,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210881,0,0,0,0
2a_ipc01_300x300.csv,ipc01,5612.429,0,128,3,0,128,129,128,0,3073,3587,3713,2945,24,3,4611,3843,3970,3971,4098,4226,0,2,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,211253,0,0,0,0
2a_ipc02_300x300.csv,ipc02,4681.581,0,0,4,0,0,0,0,0,1,1,1,2,23,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249923,0,0,0,0
2a_ipc03_300x300.csv,ipc03,4681.556,0,0,5,0,0,0,0,0,1,1,1,1,22,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249925,0,0,0,0
2a_ipc04_300x300.csv,ipc04,4681.853,0,0,1,0,0,0,0,0,0,0,3,0,26,1,1,2,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249917,0,0,0,0
2a_ipc05_300x300.csv,ipc05,4681.657,0,0,7,0,0,0,0,0,0,0,1,0,20,7,1,0,0,0,1,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249894,0,0,0,0
2a_ipc06_300x300.csv,ipc06,5302.144,0,271,140,0,0,136,135,0,2985,3527,5023,3394,22,5,4612,3126,4749,3257,4207,3396,0,0,0,271,0,0,272,0,0,0,136,135,0,0,271,136,136,208942,0,408,271,0
2a_ipc07_300x300.csv,ipc07,4681.653,0,0,8,0,0,0,0,0,0,0,0,1,19,8,3,0,1,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249893,0,0,0,0
2a_ipc08_300x300.csv,ipc08,5587.073,253,253,4,0,126,633,126,0,1647,3930,4058,2405,23,3,3678,3043,4179,3167,5956,2914,0,0,127,254,0,0,0,1,0,254,126,127,127,127,127,126,127,211663,0,0,126,253
2a_ipc09_300x300.csv,ipc09,4681.631,0,0,6,0,0,0,0,0,0,0,1,0,21,6,0,2,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,249894,0,0,0,0
2a_ipc100_300x300.csv,ipc100,5480.592,1800,5400,5105,3000,2400,11100,300,1,0,0,0,0,22,5,0,0,0,0,0,0,0,0,3300,4500,0,0,3600,0,4200,5100,5100,6600,3000,3000,5700,2100,2700,215,1500,2700,3600,4800
2a_ipc10_300x300.csv,ipc10,4681.68,0,0,6,0,0,0,0,0,0,0,1,2,22,5,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249919,0,0,0,0
2a_ipc11_300x300.csv,ipc11,5548.496,146,727,299,0,0,0,145,0,3923,3631,3923,5816,18,9,3050,4652,3198,3056,3486,4069,0,28,0,145,0,0,290,0,291,0,582,290,291,145,0,290,292,206009,0,291,290,581
2a_ipc12_300x300.csv,ipc12,4681.522,0,0,7,0,0,0,0,0,0,1,0,0,20,7,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249897,0,0,0,1
2a_ipc13_300x300.csv,ipc13,4681.494,0,0,4,0,0,0,0,0,0,0,1,0,23,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249930,0,0,0,0
2a_ipc14_300x300.csv,ipc14,4681.748,0,2,7,0,0,0,0,0,1,2,1,1,20,6,1,4,0,0,1,0,0,29,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,249886,0,0,0,0
